reduced_separation,g_ij,component_pair
4.090480927112317,0.9838927756929841,g12
4.143083888855249,0.9833861064988221,g12
4.1956920920813765,0.9837208700735358,g12
4.248301366148157,0.9842275392676982,g12
4.300903820650779,0.9836394410959026,g12
4.353512023876907,0.9839742046706172,g12
4.40611321591476,0.9831834388211576,g12
4.458719728339857,0.9832467724704275,g12
4.511319612824915,0.9822461008119578,g12
4.563932832094098,0.9833861064988221,g12
4.616532085346771,0.98228410100152,g12
4.6691332322965975,0.9814860970207144,g12
4.721741717322896,0.9818660989163361,g12
4.774382581188931,0.9874439838842086,g12
4.82702190924403,0.992775320003136,g12
4.879658498201458,0.9976669396428437,g12
4.932306046367567,1.0043178775826371,g12
4.982540258989882,1.0074132644523996,g12
2.0110649477318594,3.050406417731783,g22
2.011882985450475,2.9897961153801593,g22
2.0242811418934883,2.8339577903690056,g22
2.023757822771011,2.7848444679885693,g22
2.0128832915201897,2.9584459589913883,g22
2.014922961163423,2.902015677491601,g22
2.0285635065291343,2.733748511568198,g22
2.0429322544025137,2.6641028240079283,g22
2.0526980769283814,2.6324043325481714,g22
2.059764591968948,2.551242261008353,g22
2.077059357981243,2.5126168778512676,g22
2.0814548150643937,2.4505037584791025,g22
2.0907075377161792,2.4004131752712663,g22
2.0982658879898652,2.334229511783861,g22
2.1091600384034788,2.2917326331235275,g22
2.11600812073757,2.239482372475576,g22
2.1323722504497296,2.17941392467882,g22
2.132048444160298,2.1274322216819685,g22
2.153173505470881,2.063921496698459,g22
2.1647692443787987,2.006097874914726,g22
2.1763367750895224,1.9437458972081705,g22
2.1879954399757953,1.8960239924830413,g22
2.201938968834754,1.8312336692795814,g22
2.21356725566251,1.7786350735606438,g22
2.2252215808261377,1.730216498693542,g22
2.239191148020968,1.6696061963419182,g22
2.2508628320751765,1.6239743020427073,g22
2.262530176406739,1.5776457376015234,g22
2.2765474805506667,1.5246988068115996,g22
2.2906194651999225,1.480529919810531,g22
2.30469926134994,1.4376150390650135,g22
2.321120771839297,1.3867581187010076,g22
2.3384084909686313,1.3214104593839697,g22
2.362021762271782,1.2564144526147842,g22
